Eesnimi;Perenimi;Sugu;Sünniaeg;Surnud;Asula;Tüüp;Maakond
Kait;Luts;M;1944-08-02;1980-04-13;;;
Triinu-Liis;Muru;N;1929-02-02;0000-00-00;Aru;küla;Harjumaa
Karoliine;Lebedev;N;1972-09-17;0000-00-00;Kavaru;küla;Pärnumaa
Ilja;Maidla;M;1934-06-13;0000-00-00;Sülluste;küla;Hiiumaa
Revo;Jermakov;M;1940-10-09;1966-04-24;;;
Valdo;Vill;M;1972-06-24;1997-07-11;;;
Ethel;Remmel;N;2008-12-08;2010-09-28;;;
Eerika;Egorov;N;1980-05-07;2000-05-15;;;
Pavel;Tuisk;M;1957-11-07;0000-00-00;Õrsava;küla;Põlvamaa
Risto;Jürgens;M;1939-12-27;2008-04-28;;;
Yury;Andreev;M;1920-07-01;1922-06-26;;;
Loora;Vain;N;1992-06-23;0000-00-00;Mõtsavaara;küla;Põlvamaa
Kristian;Aun;M;1934-07-09;0000-00-00;Sonni;küla;Raplamaa
Endrik;Luts;M;1934-12-19;0000-00-00;Tõlla;küla;Pärnumaa
Aron;Herodes;M;1931-05-23;0000-00-00;Karula;küla;Lääne-Virumaa
Samuel;Käsper;M;1962-05-14;0000-00-00;Kabuna;küla;Hiiumaa
Dario;Alekseev;M;1925-11-22;1966-11-08;;;
Henrik;Sibul;M;1988-09-30;2013-11-05;;;
Minna;Annus;N;1943-08-08;1988-07-03;;;
Mairon;Kaljula;M;1905-02-14;1921-01-03;;;
Külli;Hoffmann;N;1911-11-30;0000-00-00;Sambu;küla;Harjumaa
Elerin;Pulk;N;1926-02-15;2000-02-22;;;
Leonid;Sidorov;M;1953-11-08;1956-11-16;;;
Viktoria;Roos;N;1963-07-26;0000-00-00;Õle;küla;Järvamaa
Kristel;Maksimov;N;2016-03-31;2017-06-05;;;
Ragne;Laas;N;1977-02-16;1979-07-29;;;
Simmo;Fomin;M;1981-08-17;0000-00-00;Sepaste;küla;Hiiumaa
Arseni;Koger;M;1976-12-19;0000-00-00;Samma;küla;Lääne-Virumaa
Karmo;Sobolev;M;2009-01-03;2019-06-08;;;
Asko;Veski;M;1902-05-01;0000-00-00;Juba;küla;Võrumaa
Ülari;Visnapuu;M;1968-08-23;0000-00-00;Sutlepa;küla;Läänemaa
Virgo;Pärn;M;2007-08-04;0000-00-00;Ontika;küla;Ida-Virumaa
Geidy;Kukk;N;1912-06-05;0000-00-00;Pibari;küla;Järvamaa
Kardo;Raudsepp;M;1989-11-17;1999-03-09;;;
Marita;Juhanson;N;1921-07-20;2010-12-13;;;
Kristofer;Järv;M;1905-02-11;1923-09-29;;;
Olev;Ott;M;1991-02-12;2002-04-10;;;
Kristel;Lumi;N;1962-09-28;0000-00-00;Sauste;küla;Lääne-Virumaa
Anastassija;Ots;N;1922-07-10;1936-04-28;;;
Otto;Karpova;M;2016-07-28;0000-00-00;Kullaaru;küla;Lääne-Virumaa
Ian;Pihlak;M;1979-11-30;0000-00-00;Leevijõe;küla;Põlvamaa
Kelly;Zujev;N;1997-08-07;2010-02-15;;;
Nicole;Vahter;N;1900-10-14;0000-00-00;Vastsekivi;küla;Võrumaa
Tuuli;Makarov;N;1918-12-16;0000-00-00;Resto;küla;Võrumaa
Mailis;Mironov;N;1935-06-26;1983-03-01;;;
Alexandra;Popov;N;1963-11-06;0000-00-00;Lahe;küla;Tartumaa
Richard;Allas;M;1964-05-05;2015-01-28;;;
Janne;Lehiste;N;1943-02-23;0000-00-00;Roosi;küla;Põlvamaa
Hanna-Liina;Sergejev;N;1920-06-02;0000-00-00;Hiietse;küla;Raplamaa
Kairo;Lääne;M;1989-11-29;0000-00-00;Pugõstu;küla;Võrumaa
Eero;Koval;M;1980-05-12;0000-00-00;Valgu;küla;Raplamaa
Igor;Kilk;M;1982-07-09;0000-00-00;Rämsi;küla;Tartumaa
Jörgen;Prikk;M;1986-05-11;1992-01-03;;;
Joonas;Kõiv;M;1951-11-04;1955-10-10;;;
Riho;Paju;M;1924-02-21;0000-00-00;Kaelase;küla;Pärnumaa
Sergey;Oja;M;2015-02-26;0000-00-00;Muriste;küla;Pärnumaa
Sergei;Sobolev;M;2003-01-07;0000-00-00;Luguse;küla;Hiiumaa
Irina;Alekseev;N;2005-03-12;2018-07-06;;;
Eerik;Piirsalu;M;1908-02-25;1991-07-04;;;
Triini;Gross;N;1952-10-25;1988-06-16;;;
Gertu;Rumjantsev;N;1970-02-28;0000-00-00;Saari;küla;Pärnumaa
Tanel;Ojala;M;1904-09-21;1963-11-05;;;
Tony;Urb;M;1975-04-27;2007-06-27;;;
Andris;Randoja;M;1981-07-16;1994-12-12;;;
Karl-Markus;Raadik;M;2015-07-20;0000-00-00;Rebäse;küla;Võrumaa
Alexey;Nurk;M;1940-04-17;0000-00-00;Kabriste;küla;Pärnumaa
Carl;Lass;M;1998-09-24;0000-00-00;Meeliku;küla;Võrumaa
Ainar;Kurg;M;1952-11-11;2014-03-03;;;
Leonid;Hallik;M;1997-10-29;2003-01-09;;;
Airi;Laine;N;1927-03-17;1944-11-02;;;
Angelika;Kudrjavtsev;N;1917-06-18;1952-06-10;;;
Kaidi;Kolberg;N;1978-08-18;2016-03-04;;;
Taavo;Vaht;M;1932-12-27;0000-00-00;Randküla;küla;Saaremaa
Romek;Kolesnik;M;1962-08-06;1994-04-12;;;
Andi;Madisson;M;1925-12-23;0000-00-00;Pärnamäe;küla;Harjumaa
Annela;Borissov;N;1955-02-23;2011-12-02;;;
Jasper;Lapin;M;1958-08-03;1962-08-15;;;
Kalvi;Titov;M;1957-02-14;0000-00-00;Ülejõe;küla;Järvamaa
Elizabeth;Jaanus;N;1906-05-17;0000-00-00;Riiviku;küla;Tartumaa
Milena;Erik;N;1900-04-03;1983-10-14;;;
Heigo;Siim;M;1927-05-13;0000-00-00;Arkna;küla;Lääne-Virumaa
Susanna;Sibul;N;1900-12-22;0000-00-00;Karjamaa;küla;Ida-Virumaa
Agnessa;Kisseljov;N;1979-04-06;2014-10-05;;;
Dimitri;Kudrjavtsev;M;1994-12-12;0000-00-00;Kolu;küla;Harjumaa
Jorgen;Danilov;M;1962-01-04;1981-12-15;;;
Mart;Kirss;M;1915-08-31;0000-00-00;Illi;küla;Tartumaa
Annely;Toots;N;1969-11-02;2002-10-18;;;
Nele;Lehtmets;N;2012-09-20;2013-09-27;;;
Victor;Kase;M;1911-04-24;0000-00-00;Palli;küla;Hiiumaa
Erkki;Sidorov;M;2013-01-22;0000-00-00;Karuba;küla;Pärnumaa
Ave-Marleen;Kaljurand;N;1989-04-05;0000-00-00;Võrevere;küla;Järvamaa
Marco;Müürsepp;M;1900-08-13;0000-00-00;Kenni;küla;Raplamaa
Boris;Karpova;M;1976-02-21;1994-04-17;;;
Andrea;Loginov;N;2014-04-25;0000-00-00;Hurmi;küla;Põlvamaa
Ranno;Melnik;M;1996-12-15;2001-10-27;;;
Sigmar;Kass;M;1976-11-18;2016-03-05;;;
Mikael;Kirsipuu;M;1953-12-13;0000-00-00;Pihva;küla;Tartumaa
Anne-Mai;Truu;N;1976-03-27;1996-11-09;;;
Ene;Vaht;N;1949-03-05;1973-03-23;;;
Melani;Nurk;N;1938-04-07;0000-00-00;Soome;küla;Võrumaa
August;Kull;M;1919-12-20;2004-05-27;;;
Germo;Õispuu;M;1963-09-25;1972-12-09;;;
Ken;Klein;M;1929-05-01;1975-02-15;;;
Rain;Täht;M;2015-11-13;2017-05-29;;;
Keidi;Kelder;N;1992-02-12;0000-00-00;Kiviõli;Linn;Ida-Virumaa
Teet;Kirillov;M;1965-02-20;0000-00-00;Tehumardi;küla;Saaremaa
Tim;Abbt;M;2016-10-30;2018-12-22;;;
Kaari;Sokolov;N;1930-03-20;0000-00-00;Kaasikaia;küla;Ida-Virumaa
Nele;Koger;N;2009-02-21;2015-06-10;;;
Gervin;Jürisson;M;1980-07-08;0000-00-00;Savioja;küla;Võrumaa
Tarmo;Štšerbakov;M;1904-07-10;1909-08-16;;;
Ketlin;Trei;N;2004-01-06;2011-05-10;;;
Evelyn;Tamme;N;1975-03-19;2015-02-27;;;
Anabel;Liblik;N;1977-08-27;0000-00-00;Ronivere;küla;Jõgevamaa
Izabella;Rosin;N;2002-09-11;0000-00-00;Kollino;küla;Võrumaa
Aleksei;Karu;M;1998-09-04;2007-04-07;;;
Kadi;Vähi;N;2006-06-20;0000-00-00;Sarve;küla;Hiiumaa
Meribel;Tali;N;1980-07-20;0000-00-00;Väike-Ahli;küla;Läänemaa
Kiur;Konovalov;M;1994-05-23;2010-06-12;;;
Karol;Tilk;M;1989-11-14;0000-00-00;Vahakulmu;küla;Lääne-Virumaa
Janeli;Mägi;N;1921-11-14;1997-08-01;;;
Loora;Randmaa;N;1906-10-29;1957-07-22;;;
Anu;Gusev;N;1931-07-13;0000-00-00;Sooaluste;küla;Raplamaa
Anželika;Sööt;N;1972-06-14;2010-09-07;;;
Silja;Männiste;N;1927-07-26;0000-00-00;Lahmuse;küla;Viljandimaa
Kalev;Lehtla;M;1916-05-18;0000-00-00;Oti;küla;Viljandimaa
Kirsika;Kiik;N;1975-02-14;0000-00-00;Ama;küla;Lääne-Virumaa
Edvin;Štšerbakov;M;1994-03-23;2018-03-21;;;
Marleen;Lotman;N;1928-01-20;0000-00-00;Kudruküla;küla;Ida-Virumaa
Liisu;Stepanov;N;1913-12-14;2010-06-27;;;
Adele;Poljakov;N;2004-06-17;2018-09-29;;;
Remo;Ernits;M;1990-01-28;1993-04-27;;;
Nelli;Miller;N;1989-03-01;0000-00-00;Vana-Vigala;küla;Raplamaa
Cathy;Kink;N;1916-06-27;1917-08-30;;;
Rait;Kuusk;M;1915-03-07;0000-00-00;Ohekatku;küla;Raplamaa
Gerdi;Lember;N;2016-11-25;0000-00-00;Keeri;küla;Tartumaa
Helin;Ots;N;1941-05-07;1969-01-27;;;
Mari-Liis;Markson;N;1997-08-17;0000-00-00;Pässä;küla;Võrumaa
Jüri;Koitla;M;1930-05-30;1978-04-15;;;
Berit;Vill;N;1920-06-29;1971-09-22;;;
Janari;Karpov;M;2011-05-19;2013-05-20;;;
Betti;Sarapuu;N;1982-07-15;2005-10-01;;;
Anastassija;Kuus;N;1996-07-11;0000-00-00;Kliima;küla;Põlvamaa
Taivo;Varik;M;1921-03-01;0000-00-00;Suure-Rootsi;küla;Saaremaa
Viktorija;Vahtra;N;1981-09-16;0000-00-00;Mõnnuste;küla;Saaremaa
Karl Oskar;Laine;M;1932-11-05;1967-10-24;;;
Elisabet;Visnapuu;N;2002-12-20;0000-00-00;Kastmekoja;küla;Põlvamaa
Rait;Valge;M;1921-04-20;1935-10-01;;;
Lars;Kaljula;M;1930-06-17;1957-12-22;;;
Mirko;Pärtel;M;1947-07-01;0000-00-00;Hüti;küla;Võrumaa
Karen;Maack;N;1982-12-04;0000-00-00;Panga;küla;Läänemaa
Erki;Jürgens;M;1932-12-06;0000-00-00;Lilli-Anne;küla;Võrumaa
Ardo;Kisseljov;M;1928-04-14;0000-00-00;Raagi;küla;Võrumaa
Aljona;Orlov;N;1954-12-18;0000-00-00;Sandla;küla;Saaremaa
Mari;Koit;N;2018-08-11;2019-04-24;;;
Nils;Hansen;M;1919-11-16;1971-05-18;;;
Christina;Sarv;N;1959-03-05;0000-00-00;Kõrve;küla;Võrumaa
Valeria;Kotov;N;1913-01-25;1927-10-10;;;
Aleksander;Mikk;M;1956-07-21;1965-06-03;;;
Laura-Liisa;Hoffmann;N;1947-03-30;2009-11-02;;;
Lea;Loginov;N;1997-02-13;0000-00-00;Kantsi;küla;Saaremaa
Vassili;Filatov;M;1955-05-08;0000-00-00;Aaviku;küla;Harjumaa
Anna-Maria;Kuusk;N;1924-03-11;0000-00-00;Saunametsa;küla;Pärnumaa
Älis;Jänes;N;1972-03-05;1995-11-07;;;
Janari;Gross;M;1916-07-04;0000-00-00;Raassilla;küla;Viljandimaa
Margarita;Fedorov;N;1912-04-07;0000-00-00;Kõrkküla;küla;Tartumaa
Marit;Paju;N;2009-07-01;0000-00-00;Toolse;küla;Lääne-Virumaa
Merlyn;Sobolev;N;2014-01-21;0000-00-00;Roostoja;küla;Ida-Virumaa
Jargo;Pikk;M;1927-07-22;1928-09-03;;;
Valerija;Veski;N;1915-10-24;2002-09-10;;;
Elena;Hoffmann;N;1932-09-27;0000-00-00;Mäeselja;küla;Tartumaa
Nikol;Pärn;N;1971-04-19;2018-04-17;;;
Ralf;Tomson;M;1952-01-19;0000-00-00;Tigase;küla;Tartumaa
Juhan;Kool;M;1979-11-29;1985-03-12;;;
Eric;Saare;M;1900-04-21;0000-00-00;Remniku;küla;Ida-Virumaa
Merilin;Järve;N;1912-07-27;0000-00-00;Naistevälja;küla;Lääne-Virumaa
Mairo;Schmidt;M;1961-03-08;2006-11-16;;;
Eric;Mitt;M;2015-01-23;0000-00-00;Viraksaare;küla;Järvamaa
Mariell;Paju;N;1975-10-02;0000-00-00;Pikakannu;küla;Võrumaa
Mirtel;Valk;N;1965-01-30;1998-10-29;;;
Juss;Nõmm;M;1950-08-08;1985-12-12;;;
Violetta;Holm;N;1965-06-10;0000-00-00;Plaani;küla;Võrumaa
Edvin;Afanasjev;M;1939-10-01;0000-00-00;Sae;küla;Harjumaa
Fred;Roos;M;2000-02-11;2009-04-17;;;
Darja;Viira;N;1906-07-30;0000-00-00;Raigla;küla;Põlvamaa
Agne;Ignatjev;N;1910-08-13;0000-00-00;Kullimaa;küla;Raplamaa
Eliisa;Mölder;N;1978-08-20;0000-00-00;Hanija;küla;Võrumaa
Kristiine;Jürisson;N;1943-12-11;0000-00-00;Rokina;küla;Võrumaa
Nikolai;Kass;M;1978-04-20;0000-00-00;Metskaevu;küla;Lääne-Virumaa
Marje;Leppik;N;1947-09-30;1971-08-20;;;
Saamuel;Tamm;M;1971-11-11;0000-00-00;Raudoja;küla;Harjumaa
Ain;Fomin;M;1904-06-29;1992-09-11;;;
Raido;Bell;M;1901-04-18;2005-08-23;;;
Gerli;Pikk;N;1974-01-02;0000-00-00;Uue-Saaluse;küla;Võrumaa
Meriliis;Rand;N;2001-05-16;0000-00-00;Sudiste;küla;Viljandimaa
Priit;Heinsalu;M;1903-05-18;0000-00-00;Jõeääre;küla;Raplamaa
Sirje;Aru;N;1946-02-18;2006-05-12;;;
Rainar;Kurvits;M;1945-10-10;1946-12-25;;;
Elmar;Ivask;M;1963-09-06;0000-00-00;Mustjala;küla;Saaremaa
Anna-Liis;Salu;N;1921-04-23;2001-11-06;;;
Hanna-Liina;Toom;N;1968-09-12;0000-00-00;Patika;küla;Harjumaa
Piret;Sillaste;N;2001-09-09;2013-11-01;;;
Artemi;Abel;M;2005-03-08;0000-00-00;Sinima;küla;Hiiumaa
Alissa;Vain;N;2016-11-27;0000-00-00;Ivaste;küla;Tartumaa
Edvard;Lokk;M;1922-12-31;0000-00-00;Mustahamba;küla;Võrumaa
Jaak;Alas;M;1925-06-12;1953-07-31;;;
Aleksei;Aus;M;1967-09-10;2016-02-21;;;
Raner;Abderhalden;M;1932-01-10;0000-00-00;Vanamõisa;küla;Harjumaa
Rebeka;Solovjov;N;2014-02-01;2018-03-01;;;
Miia;Sirel;N;1911-05-31;1974-05-01;;;
Andrias;Käsper;M;1990-04-26;2018-02-08;;;
Frank;Liiva;M;1990-04-15;1997-03-02;;;
Ergo;Green;M;1950-06-24;0000-00-00;Jaanimäe;küla;Võrumaa
Olavi;Kondratjev;M;1917-01-05;1955-09-09;;;
Tairi;Õun;N;1902-02-16;1943-12-16;;;
Heili;Teearu;N;1977-12-25;2016-12-10;;;
Hanno;Oras;M;1995-03-18;2014-01-03;;;
Kertu;Lind;N;1936-12-14;2011-04-26;;;
Eva Maria;Hunt;N;1942-02-15;0000-00-00;Kalliküla;küla;Valgamaa
Natalija;Tomingas;N;1974-08-16;1993-01-17;;;
Eerika;Siim;N;1958-12-11;0000-00-00;Tagamõisa;küla;Saaremaa
Leelo;Piho;N;1923-06-22;1956-10-19;;;
Marge;Vaher;N;1909-02-13;1997-08-25;;;
Olari;Rumjantsev;M;1915-08-02;1937-03-19;;;
Patrick;Baskin;M;1978-03-02;1982-03-23;;;
Sulev;Jürgenson;M;1924-04-20;1967-12-13;;;
Rene;Käärik;M;1906-06-03;0000-00-00;Vana-Vigala;küla;Raplamaa
Tiia;Viks;N;1950-05-03;0000-00-00;Manija;küla;Pärnumaa
Rinat;Põllu;M;2008-11-04;0000-00-00;Kodasoo;küla;Harjumaa
Annela;Kaasik;N;1928-01-07;1981-06-30;;;
Lukas;Kivilo;M;1967-02-23;0000-00-00;Ennu;küla;Saaremaa
Kristiina;Koval;N;1918-07-02;1951-07-08;;;
Caroly;Truu;N;1994-01-28;0000-00-00;Valgu;küla;Hiiumaa
Danila;Kazakov;M;1937-10-08;1973-04-19;;;
Jarmo;Mürk;M;2016-08-11;2017-09-09;;;
Laura Maria;Sander;N;1994-01-29;0000-00-00;Pangodi;küla;Tartumaa
Cristofer;Nurk;M;1987-11-06;1990-07-24;;;
Helis;Roos;N;1954-05-17;0000-00-00;Tudu;alevik;Lääne-Virumaa
Karolin;Friedman;N;1984-02-22;1994-07-13;;;
Leana;Mändla;N;1902-07-09;0000-00-00;Looküla;küla;Harjumaa
Liisa Maria;Powell;N;1923-11-26;0000-00-00;Sarapuu;küla;Valgamaa
Tarmo;Mäeots;M;2004-05-02;2011-10-16;;;
Marianna;Orlov;N;1925-10-29;1943-09-07;;;
Romek;Sillaots;M;1984-02-02;2013-05-12;;;
Beatrice;Säde;N;1944-03-03;0000-00-00;Härma;küla;Harjumaa
Sarah;Liiv;N;1967-07-27;0000-00-00;Jõeveere;küla;Põlvamaa
Grete-Liis;Ivanov;N;1950-04-22;0000-00-00;Sohlu;küla;Pärnumaa
Sabina;Kallas;N;1928-01-16;2017-10-15;;;
Anabell;Kotov;N;2016-10-18;0000-00-00;Aruküla;küla;Järvamaa
Evert;Vaino;M;2018-10-03;2019-06-25;;;
Britta;Ots;N;1966-10-03;0000-00-00;Villamaa;küla;Hiiumaa
Arno;Belov;M;1917-02-04;1959-02-28;;;
Voldemar;Kisseljov;M;1999-05-21;2002-11-03;;;
Ayrton;Lember;M;1939-04-17;0000-00-00;Järvajõe;küla;Lääne-Virumaa
Raili;Post;N;1934-02-25;1993-12-31;;;
Olari;Kukk;M;1920-10-28;2019-03-16;;;
Tairi;Konovalov;N;1946-11-18;0000-00-00;Metsavälja;küla;Lääne-Virumaa
Eva-Maria;Õun;N;1968-01-29;0000-00-00;Liimala;küla;Ida-Virumaa
Sille;Vill;N;2005-09-09;0000-00-00;Tarakuse;küla;Ida-Virumaa
Vera;Jõe;N;1906-12-31;0000-00-00;Põllu;küla;Raplamaa
Hans;Salumäe;M;2002-09-16;0000-00-00;Moe;küla;Lääne-Virumaa
Juulia;Kirsipuu;N;1914-07-09;0000-00-00;Järise;küla;Läänemaa
Eerik;Adamson;M;1963-08-30;1980-04-05;;;
Raimond;Arrak;M;2009-06-19;2014-08-15;;;
Jaanika;Sisask;N;1931-07-17;0000-00-00;Augli;küla;Võrumaa
Lisandra;Voronin;N;1996-02-22;0000-00-00;Levalõpme;küla;Saaremaa
Otto;Kurg;M;1991-04-30;2013-12-25;;;
Vivian;Gontšarov;N;2002-10-03;2004-08-23;;;
Marek;Õun;M;1995-11-07;0000-00-00;Rebaski;küla;Saaremaa
Claudia;Orlov;N;1946-07-03;1978-08-15;;;
Kätlyn;Rumjantsev;N;1958-04-17;1988-08-25;;;
Gerly;Kisseljov;N;1978-04-03;2000-05-08;;;
Jelena;Kalinin;N;2002-07-30;2011-05-15;;;
Karen;Kangro;N;1966-09-08;1976-07-01;;;
Raimo;Õispuu;M;1936-05-09;0000-00-00;Rasivere;küla;Lääne-Virumaa
Eerik;Jürgenson;M;1912-08-30;1996-04-20;;;
Remi;Medvedev;M;1995-06-28;0000-00-00;Käbli;küla;Võrumaa
Eva Lotta;Vinogradov;N;1905-05-24;0000-00-00;Abula;küla;Saaremaa
Meriliis;Mikelsaar;N;1912-11-13;1988-02-03;;;
Elina;Teras;N;1987-08-21;0000-00-00;Kassema;küla;Jõgevamaa
Aarne;Ernits;M;2003-12-12;2012-12-28;;;
Stepan;Antonov;M;2006-04-17;2013-05-27;;;
Nele-Liis;Paas;N;1936-07-29;1967-10-02;;;
Helena;Kutsar;N;1906-01-08;0000-00-00;Kadja;küla;Harjumaa
Deivi;Koval;N;1917-06-09;1998-01-28;;;
Kristiina;Nõmm;N;1927-05-31;0000-00-00;Püha;küla;Harjumaa
Mari;Michelson;N;1974-01-17;2005-10-08;;;
Hannah;Kallaste;N;1906-06-15;0000-00-00;Koiduvälja;küla;Saaremaa
Kevin;Arro;M;2010-07-26;2016-09-25;;;
Anita;Treier;N;1976-01-31;1999-01-11;;;
Kristian;Hein;M;1903-11-26;0000-00-00;Rukkiküla;küla;Pärnumaa
Ivo;Hunt;M;1985-03-02;1989-11-29;;;
Anett;Afanasjev;N;1904-02-03;2006-09-14;;;
Magnar;Kaljula;M;1908-03-25;1939-04-01;;;
Keidy;Lehtla;N;1940-08-07;1941-12-20;;;
Dajana;Simm;N;1951-02-12;1980-09-05;;;
Karl Marten;Kant;M;1935-07-02;1966-04-16;;;
Helar;Õunapuu;M;1926-04-17;1927-11-27;;;
Nele-Liis;Palu;N;1947-01-08;0000-00-00;Juraski;küla;Võrumaa
Irena;Salumets;N;1953-11-05;0000-00-00;Loopre;küla;Jõgevamaa
Kerti;Nuut;N;1962-11-18;0000-00-00;Kadaka;küla;Pärnumaa
Regina;Annus;N;1910-04-09;1931-08-05;;;
Veljo;Visnapuu;M;1991-04-19;0000-00-00;Tõugu;küla;Lääne-Virumaa
Maksim;Soosalu;M;1938-04-05;1941-05-26;;;
Jaagup;Green;M;1914-09-06;1999-09-08;;;
Anni;Nikitin;N;1946-11-10;1969-07-29;;;
Sten Martin;Võsu;M;1919-12-10;1999-05-25;;;
Karita;Herodes;N;2002-02-23;2017-12-06;;;
Annaliis;Ojaste;N;1990-03-26;0000-00-00;Jõesse;küla;Läänemaa
Marelle;Oks;N;1922-08-16;1978-07-02;;;
Lauren;Ott;N;1955-02-09;0000-00-00;Mikita;küla;Võrumaa
Daria;Luts;N;1938-03-07;0000-00-00;Uhe;küla;Ida-Virumaa
Marielle;Anderson;N;1901-11-03;0000-00-00;Karaski;küla;Võrumaa
Viivika;Kolk;N;1955-05-28;1986-12-11;;;
Jaana;Anton;N;1945-04-17;1988-03-05;;;
Heidi;Järv;N;1950-08-09;2004-02-14;;;
Samuel;Kesküla;M;1963-12-24;1964-01-15;;;
Gregory;Saar;M;2014-08-30;0000-00-00;Koidma;küla;Hiiumaa
Maarjo;Kasemets;M;1994-07-04;0000-00-00;Moosi;küla;Saaremaa
Rivo;Tooming;M;2003-09-16;2017-05-18;;;
Rivo;Sander;M;1902-08-19;2001-02-15;;;
Hannah;Leht;N;1918-02-22;2011-12-18;;;
Tatiana;Visnapuu;N;1961-04-25;1964-08-26;;;
Juhan;Saare;M;1911-06-26;0000-00-00;Kopa;küla;Hiiumaa
Peep;Laas;M;1953-04-12;1972-01-02;;;
Loora;Kasak;N;2017-06-04;2019-08-03;;;
Harry;Truu;M;1997-12-17;0000-00-00;Piigaste;küla;Põlvamaa
Kaimar;Kodres;M;2002-09-07;0000-00-00;Võrsna;küla;Saaremaa
Geir;Tuulik;M;1954-10-28;2006-02-11;;;
Karl-Kevin;Kotkas;M;1944-05-07;0000-00-00;Metstaga;küla;Võrumaa
Veniamin;Heinsoo;M;1936-04-23;0000-00-00;Pälli;küla;Läänemaa
Kamilla;Roos;N;1954-10-29;0000-00-00;Parila;küla;Saaremaa
Renee;Tiik;M;2008-11-17;0000-00-00;Kurevere;küla;Harjumaa
Alex;Reimann;M;1936-03-12;0000-00-00;Hirmuse;küla;Ida-Virumaa
Vladimir;Golubev;M;1992-07-07;0000-00-00;Peraküla;küla;Võrumaa
Evgeny;Gromov;M;1909-01-14;1968-08-11;;;
Elis;Sarv;N;1999-08-13;2019-02-08;;;
Reti;Kokk;N;1980-02-29;2016-05-29;;;
Heinrich;Kozlov;M;2005-05-01;0000-00-00;Sääsküla;küla;Järvamaa
Samuel;Nazarov;M;1995-03-24;1996-12-14;;;
Hanno;Fomin;M;1993-04-28;0000-00-00;Sinalepa;küla;Läänemaa
Ingrit;Must;N;1970-08-25;0000-00-00;Pajumõisa;küla;Saaremaa
Karl;Holm;M;1949-12-08;0000-00-00;Ülejõe;küla;Järvamaa
Urmet;Raid;M;1950-07-26;0000-00-00;Laisi;küla;Võrumaa
Karlis;Tomson;M;2004-07-24;2011-08-11;;;
Marilin;Hõbe;N;1943-05-13;0000-00-00;Võhma;küla;Lääne-Virumaa
Mait;Silm;M;1909-10-15;0000-00-00;Rannapungerja;küla;Ida-Virumaa
Karl Joonas;Gross;M;1938-04-11;1945-04-27;;;
Maarit;Mölder;N;2004-08-22;2015-10-01;;;
Nadezda;Oks;N;2016-02-05;2017-08-29;;;
Fred;Varik;M;1950-02-15;1997-07-12;;;
Anne;Paju;N;1901-06-13;0000-00-00;Kasti;küla;Saaremaa
Jaroslav;Loginov;M;1918-05-01;0000-00-00;Mikita;küla;Võrumaa
Liliana;Vlassov;N;2011-03-24;2018-05-06;;;
Saskia;Suur;N;1985-12-03;1992-09-30;;;
Daisi;Jürgenson;N;1964-03-15;1974-08-08;;;
Alex;Jeršov;M;1909-08-27;1930-12-04;;;
Maili;Jürgens;N;1933-06-28;0000-00-00;Odiste;küla;Viljandimaa
Janelle;Põllu;N;2004-01-26;0000-00-00;Raadivere;küla;Jõgevamaa
Kärol;Kala;N;1917-12-27;1951-12-28;;;
Liana;Lillemets;N;1904-12-26;1932-02-02;;;
Kristine;Michelson;N;1978-12-05;2004-06-25;;;
Brigitta;Kikkas;N;1922-11-03;1952-12-06;;;
Lea;Trofimov;N;2013-01-01;2018-10-27;;;
Maksim;Kolk;M;2005-12-27;0000-00-00;Ilistvere;küla;Lääne-Virumaa
Elis;Fedorov;N;1968-05-01;0000-00-00;Paljasmaa;küla;Raplamaa
Mariete;Nikolaev;N;1997-10-26;2019-05-30;;;
Svjatoslav;Kase;M;1955-03-19;0000-00-00;Ala-Tsumba;küla;Võrumaa
Üllar;Zaitsev;M;1980-03-19;0000-00-00;Manija;küla;Pärnumaa
Steven;Aavik;M;1943-03-25;0000-00-00;Kiia;küla;Harjumaa
Yury;Lotman;M;1948-10-13;0000-00-00;Sänna;küla;Võrumaa
Heiki;Sorokin;M;1945-09-26;0000-00-00;Voki;küla;Võrumaa
Carina;Vorobjov;N;1938-08-02;0000-00-00;Nõo;alevik;Tartumaa
Sigrid;Aun;N;1945-10-01;0000-00-00;Nuutre;küla;Viljandimaa
Roland;Annus;M;2017-11-30;2019-08-15;;;
Kendra;Lillemets;N;1967-04-01;0000-00-00;Ärina;küla;Lääne-Virumaa
Merilin;Matvejev;N;1956-09-06;0000-00-00;Pühajärve;küla;Valgamaa
Raino;Kondratjev;M;1940-12-25;0000-00-00;Saustinõmme;küla;Harjumaa
Rihard;Green;M;1923-06-11;0000-00-00;Peerni;küla;Pärnumaa
Tuuli;Panov;N;1922-02-25;0000-00-00;Vanausse;küla;Viljandimaa
Kaia;Kalmus;N;1984-09-22;2008-07-04;;;
Ines;Kalda;N;1959-05-01;0000-00-00;Tareste;küla;Saaremaa
Eva-Lotta;Panov;N;1960-03-02;1971-10-18;;;
Eduard;Bõstrov;M;1955-06-14;0000-00-00;Pagasi;küla;Läänemaa
Alisa;Pajula;N;1946-01-09;0000-00-00;Veia;küla;Jõgevamaa
Mihhail;Arrak;M;2002-03-19;2016-03-03;;;
Hanna Maria;Krõlov;N;1917-11-16;0000-00-00;Salutaguse;küla;Raplamaa
Ronan;Sarapuu;M;1931-02-05;1937-10-03;;;
